name,latitude,longitude,phone,address
RANJITH SERVICE STATION,28.732709,77.198521,9899249866,VILLAGE JHARODA MAJRA OPP STA TPT AUTHORITYBURARI ROADNEW DELHI DELHI
RISAL PETRO,28.56495,77.1776,9718393560,R K PURAM NEW DELHI SECTOR V
SABARWAL SERVICE STATION,21.0753,72.8884,9726133366,"""BLOCK NO.243/2/P VIL. LAJPORE"" NAVSARI ROAD DIST. SURAT NAVSARI ROAD DIST. SURAT"
SAHYOG PETROLEUM,18.748339,79.435964,8341439268,INDIAN OIL DEALERS KUNDANPALLY LOCK NO T3-208 A-5-4 RAMAGUNDAM TELANGANA
SAI LEELA A/S. KUNDANPALLY,10.908044,77.008995,9003955330,SF NO 395 MALUMICHAMPATTI VILLAGE MADUKKARAI
SAKTHIVEL FUEL STATION,28.533834,77.107049,9811066601,IGI AIRPORT NH-8 DELHI JAIPUR ROAD RANGPURI N.DELHI
SATBIR FILLING STATION,28.544977,77.121947,9.20E+11,NH8 MAHIPALPUR DELHI NH8 MAHIPALPUR DELHI DELHI
SETHI AUTO S/STN,27.161015,77.936302,9760604358,NH-11VILLAGE PATHOLI AGRA-FATEHPUR SIKRI ROAD DISTT. AGRA
SHAHEED HARINDER SINGH FILLING STN,25.21805,86.99783,8877745111,VILL-KOHRAPO-MIRJANHAT PS-LODIPUR DIST-BHAGALPUR
SHIVAM ARYAN FUEL SERVICES,28.418935,76.997956,9350819030,NARSINGHPUR NH-8 GURGOAN NARSINGHPUR NH-8 GURGOAN DISTT GURGAON
SHREE SHYAM PETRO CARE,22.2063,69.5571,9426204380,SURVEY NO-186 VILLAGE HANSTHAL TAL:Khambhaliya
SHRI RADHESHYAM PETROLEUM,16.315413,80.349551,9440802050,D.NO. 477 NEAR FLYOVER PERECHERLA VILLAGE & MEDIKONDUR MA GUNTUR DISTRICT
SIVA FILLING STATION,15.53611,79.988426,9.20E+11,SY.NO.435 KURNOOL ROAD PERNAMITTA PRAKASAM DISTRICT
SREE LAKSHMI NARAYANA FILLING STATI,17.394296,82.66317,9.19E+11,ADHOC ASHOK ENTERPRISES NAKKAPALLI VISAKHAPATNAM
COCO NAKKAPALLI ADHOC ASHOK ENTERPR,17.32988,78.55328,9848023030,S.NO.58/1/G BAIRAMALGUDA HASTINAPUR COLONY RANGA REDDY TELANAGANA
SRI BALAJI KAILASH F/S HASTINAPUR,16.547964,80.816952,9985003219,INDIAN OIL DELEARS GANNAVARAM GANNAVARAM VILLAGE & MANDAL KRISHNA DIST ANDHRA PRADESH
SRI BALAJI TRACTOR SERVICE STATION,27.235258,77.870453,9837036258,NH-2 RUNKUTA MATHURA AGRA ROAD KM STONE 18-8 RUNUKTA DISTT. AGRA
SUDHIR FILING STATION,21.7422,72.15,9825206096,NR TALAJA OCTROI TOLL NAKA Indian Oil Dealer ADHEWADA BHAVNAGAR
SWASTIK AUTO SERVICE (TALAJA),25.019739,74.637594,9414110429,CHITTOR-BHILWARA ROAD (NH-48) P.O. & TEHSIL - GANGRAR DISTT- CHITTORGARH (RAJ)
TOP VALUE INDIAN OIL,28.61928,77.483833,9810074210,GT ROAD CHAPRAULA-201302 GAUTAM BUDH NAGAR
TYAGI BROS. FILLING STN.(IBP RO),21.3002,72.9541,9428743881,NH-8 AMBOLIAMBOLI PO. KATHOR TA SURAT. SURAT.
V.D.PATEL & COMPANY,28.77142,78.097691,8923200195,GARHMUKTESHWAR NH - 24 DELHI ROAD GARH PANCHSHEEL NAGAR
VIBHOR SERVICE STATION,27.20156,78.027678,9412256589,JEEVANI MANDI AGRA JEEVANI MANDI
Kunde Service Station,15.276966,73.958381,,"Madgaon, Goa"
Pereira Auto,15.36132,73.927668,,"Verna, Goa"
Kavlekar Fuel Station,15.377176,73.906784,,"Sangoale, Goa"
Auto Care Centre,19.064766,72.860791,,Bandra BKC
"HPCL COCO, Taje",18.749888,73.517471,,"Taje, Mumbai Pune Expressway"
Mega Fuel Station,13.127116,80.295324,,"PLOT NO . 90-B,FISHING HARBOUR,RAYAPURAM, CHENNAI"
HSD-SHREE RAGHAVENDRA FUELS,13.033597,77.530716,,"HP DEALER , C A SITE, 2ND STAGE PEENYA BDA INDUSTRIAL SUBURB, NH4, PEENYA BANGALORE - 58 560058"
Auto care centre. Old Airport road,12.959191,77.653331,,Bangalore
Shann Petroleum,13.408438,77.084981,,"TUMKUR-SIRA ROAD, LHS SY NO 180/2, NH -4 OORUKERE POST 572106"
"HSD Anand filling station,",13.163865,77.566282,,"SY.NO.11/4, RAJANKUNTE YELLHANKA-DODDBALLAPUR MAIN ROAD RAJUNKUNTE POST 560064"
Mallikarjuna Service Station,12.959191,77.653331,,Ramchandra Puram Hyderabad
Auto Care Centre,28.599465,77.195884,,Niti Marg
HPCL Bedi Motor,28.596284,77.204475,,"Race Course Road, New Delhi"
HPCL Batra Car care Centre,28.602175,77.230023,,"Humayun Road, new Delhi"
HPCL Anand Service station,28.544743,77.121463,,Mahipalpur Delhi
"HPCL Om Service station, Singhu Border, Delhi",28.853682,77.124803,,"Singhu Border, Delhi"
MS Associated Service station,28.670024,77.226365,,"Near Kashmiri gate,Alipur road"
"Servicircle, Ashram Chowk",28.571214,77.25976,,Delhi
Hindustan Fuels,28.427438,77.034197,,"Sector-48, Gurgaon, Adjacent Central Park II, Near Aricent building"
Bhole Shankar Filling Station,28.423869,77.147923,,Faridabad - Gurgaon Rd
SAINIK FLG STN - GURGAON,28.309312,76.883357,,"DELHI -JAIPUR ROAD, BINOLA, DIST. GURGAON"
BANSAL PETRO,28.304391,76.877337,,"DELHI -JAIPUR ROAD, BINOLA, DIST. GURGAON"
Malwa Automobiles Pvt. Limited,28.874731,77.121824,,"NH 1 31 KM Stone GT Road, Sonipat, Phase IV, Kundli, Haryana 131028"
Balaji Service Station,29.102671,77.051004,,"Plot NO 102 1 Vill Bari Dist Sonepat, Haryana 131101"
Kaushalya Petro Junction,29.253822,77.008577,,"TEH. & PO: Samalkha Dist:, Haryana 132101"
Balaji Filling Station,30.111596,76.872162,,"Teora, Haryana 136135"
"COMCO- Grand Millenium, Satellite",23.017733,72.518767,,"Satellite, Ahmedabad"
COMCO- Chandkheda,23.10398527,72.57607857,,"Near ONGC Colony,Chandkheda"
COMCO- Nikol,23.03487579,72.67582522,,"Plot.no.85/1,F.P.no.85,T.P.S No.111,Nikol,Ahmedabad"
HPCL COCO Rander,21.220858,72.790517,,"Rander, Surat city"
HP COCO Nizampura,22.340739,73.178151,,"Nizampura, Baroda City"
Coco Karelibagh,22.320662,73.203927,,"Karelibagh, Baroda City"
City Light,21.169113,72.794814,,Surat City
Highway Service Station,27.001626,75.875975,,"NH-08, Amer Jaipur-Delhi Highway"
Shri Balaji Filling Station,27.5672732,76.0729333,,"Jaipur-Delhi road, Paota (LHS)"
Tirupati Fuel Centre,27.5719633,76.0739579,,"Jaipur-Delhi road, Paota (RHS)"
Dev Kiran Petro Services,26.998492,76.839957,,"Jaipur-Agra road, Pipal Kheda Dausa (RHS)"
"HP Auto Care, Bilouchi LHS",27.145909,75.858482,,Jaipur- Delhi Highway
Rambagh Service Station,26.895939,75.809259,,Jaipur- Delhi Highway
"HP Auto Care, Bilouchi RHS",27.149671,75.858444,,Jaipur- Delhi Highway
Raj Automobiles,27.216517,78.090392,,"Chalesar, on NH2, Agra"
Friends Auto Service,27.131485,78.007094,,"Sewla Jaat phatk, Agra"
M/s Bahri Goods,26.914087,75.829135,,"Agra Road, Jaipur City"
M/s Agra Roads,26.913906,75.831902,,"Agra Road, Jaipur City"
Adhoc- Kay S S,28.540799,77.116802,,Rangpuri
RAJ AUTO SERVICE,28.377316,77.301376,,Faridabad
HP SHIV SHAKTI PETROLEUM,28.304687,77.067174,,Gurgaon (NH-248)
HP KALRA FILLING STATION,28.381419,77.337121,,Faridabad
HP S S FILLING STATION,28.472688,77.030894,,Gurgaon
HP B S FILLING STATION,28.363271,76.809606,,BETWEEN KM ST 22 AND 24 LHS ON PATAUDI-GURGAON ROAD (JAURI KALAN)
MTB S/S,13.02082759,77.7114574,,Avulahalli
Dinesh Filling Station,17.424225,78.379351,,Gachibowli
Adhoc Sri Murugan Agencies,12.83081153,80.22382845,,"OMR ROAD,SIRUSERI IT PARK,EGATTUR VILLAGE"
HP AUTO CARE CENTER (COMCO SHOOLAGIRI),12.666399,78.002946,,"HP JUNCTION COMCO,BANGALORE MAIN ROAD,SHOOLAGIRI, HOSUR"
Adhoc M Nagarajan,13.042346,80.267894,,"NO:186,RAYAPETTAI HIGH ROAD,MYLAPORE, CHENNAI"
HP Auto Care Center,18.62321565,73.80711934,,"HAL-2, Pune"
HP Auto Care Center,18.62321565,73.80711934,,Nagpur
Jyoto filling station,23.37507684,76.22171026,,"Village Nainavad, A.B. Road NH-52 (Old NH-3), Tehsil Tarana, District Ujjain (M.P.) Pin 456770"
HP Autocare HAL-3,18.62475866,73.81741972,,Pimpri
TRK Walke Petroleum,18.61741804,73.87098434,,Dighi
Nirmal fuel station,23.96229404,72.369124,,AHMEDABAD
Shree Gajanand petroleum,22.71765247,72.42619003,,AHMEDABAD
Krishav Fuel station,23.53423302,72.75077718,,AHMEDABAD
Shri Ashapura petroleum,23.01150332,71.45834165,,AHMEDABAD
Ramdevkrupa petroleum,22.74690795,72.35390432,,AHMEDABAD
"NILAKANTHA PETROLIUM,MEGHRAJ",23.50979406,73.51290016,,AHMEDABAD
DASHMAA PETROLEUM,22.97413222,73.70086906,,BARODA
SHYAM PETROLEUM,20.65718267,72.914628,,BARODA
SHREE MOHANESHWAR GASOLINE,20.51731654,72.89757793,,BARODA
JOHAR PETROLEUM,22.89651793,73.00678814,,BARODA
EKTA PETROLEUM,23.05358306,73.96669616,,BARODA
MSHSD SHRI RAM FUEL STATION,22.48388064,73.06656593,,BARODA
MSHSD SAMRAT PETROLEUM,21.91628878,73.03797637,,BARODA
MSHSD POONAM PETROLEUM,20.15740411,72.74670527,,BARODA
MSHSD RONAK PETROLEUM,21.81521792,73.36209559,,BARODA
MS/HSD JAY SHREE CHAMUNDA PETROLEUM,23.3997556,69.69271677,,Rajkot
MS/HSD MAA PETROLEUM,21.73525213,70.43138332,,Rajkot
"SHREE JALARAM PETROLEUM, RAPAR",23.57816279,70.65588899,,Rajkot
"SHIVKRUPA PETROLEUM, KHARACHIYA",21.8214715,70.16562332,,Rajkot
MILLENNIUM KOTA,25.15387673,75.87576054,,Kota
PREM FILLING STATION,25.35663266,75.4981218,,Kota
VISHWAKARMA FILLING STATION,26.32798187,74.73588474,,Kota
SHREE BHAGWAT FILLING STATION,25.81560126,75.19980438,,Kota
Gojer Service Station,12.84274114,77.64004984,,Electronic City
Swayam Jyothi Service Station,13.34652117,77.1255439,,Kuvempunagar
MS/HSD SRI KANAKADURGA FILLING STATION,17.65979467,78.175816,,PALPANOOR
MS/HSD RAMA DEVI FILLING STATION,17.69809853,78.20747027,,MUCHERLA VILLAGE
VIHAANA FUELS,12.88378861,80.15411634,,"207/2,AGARAM MAIN ROAD,AGARAM THEN VILLAGE,TAMBARAM,CHENGALPATTU, TAMBARAM"
YOGEES SERVICE STATION,12.91072762,80.16856719,,"S.NO,96/2,VENGAIVASAL MAIN ROAD,VENGAIVASAL VILLAGE,TAMBARAM"
ARUNA AGENCIES,12.80772968,79.68334488,,"NO-477,200 FT INNER RING ROAD,JAWAHARLAL NEHRU SALAI, MADHAVARAM, CHENNAI"
MS/HSD SWAMY AGENCY,13.221944,79.641739,,"NO-22,REDHILLS ROAD,EAST BALAJI NAGAR, ThALAVEDU, AMBATTUR CHENNAI"
NST Fuels,13.15739885,80.13106606,,Arikkambedu
M/S BHAWNA FILLING STATION,26.84924433,77.55231442,,BHARA TEHSIL KHERAGARH AGRA TANTPUR ROAD 283115
MS/HSD SHRI KUNJ BIHARI FILLIN,27.38059706,77.60991721,,"KOSI KHURD MATHURA BHARATPUR ROAD SH 33, TESHIL GOVERDHAN 281121"
Arth Petroleum,23.14737493,73.21520464,,AHMEDABAD
Kamdhenu Petroleum,22.74020247,72.29099426,,AHMEDABAD
Rameshwar Petroleum,22.46531931,71.48253811,,AHMEDABAD
Somnath Petroleum,23.35113493,72.94085531,,AHMEDABAD
"RAJ PETROLEUM, KHADOL",22.415822,72.03740868,,AHMEDABAD
"D M PETROLEUM, KAMRODA",23.45386659,73.50337037,,AHMEDABAD
VIKAS PETROLEUM,24.3762618,71.57438487,,AHMEDABAD
URJA PETROLEUM,23.45306754,72.72323732,,AHMEDABAD
AMRUTDHARA PETROLEUM,23.49654492,72.64565032,,AHMEDABAD
"CHIRAG PETROLEUM, TINTOI",23.5994977,73.32000032,,AHMEDABAD
"GAJANAND PETROLEUM,KADA BUS STAND",23.62954816,72.56304781,,AHMEDABAD
"SHREE HARIHAR PETROLEUM, MAVSARI",24.60806722,71.36422818,,AHMEDABAD
"SHRRE OGADJI ENERGY, RAMPURA",24.28447241,72.06175318,,AHMEDABAD
JAY LAXMI PETROLEUM,20.91756369,73.33674602,,BARODA
SHREE KANSARI PETROLEUM,21.18486459,73.78143743,,BARODA
BHAGYALAXMI PETROLRUM,21.12610507,73.41714716,,BARODA
MSHSD RIDDHI PETROLEUM,22.32596445,73.83562248,,BARODA
MSHSD SHREE KUNJ PETROLEUM,20.79237427,73.22878694,,BARODA
"SAI PETROLEUM, MANABA",23.05768905,70.85380938,,Rajkot
Sankalp HP Center Ramchandrapura,26.7721743,75.8588282,,Jaipur
Nirmala India Petroleum,26.5929942,75.5365536,,Jaipur
Maa Phitalamata Filling Station,26.9828684,75.4312183,,Jaipur
Shanti HP Centre,24.45915456,73.59245564,,UDAIPUR
PANDIT FS,24.56222678,73.7015405,,UDAIPUR
Mangal Murti FS,24.89602058,74.30055684,,UDAIPUR
MSHSD SRI SENDHUR MURUGAN AGEN,12.62843305,79.91408581,,"CHENGALPATTU,,UTHIRAMERUR ROAD|PUKKATHURAI, KODITHANDALAM"
Sri Venkateshwara Fuels,12.79797239,78.00817083,,"HPCL DEALER,SF.NO :62/1B, MUDUGURIKAI POST,PANNAPALLI"
THAKOR PETROLEUM,21.12464505,72.87677302,,BARODA
"YADUNANDAN PETROLEUM, MITANA",22.57245937,70.74589746,,Rajkot
"NYALKARAN PETROLEUM, SAMATRA",23.19565484,69.50375718,,Rajkot
"JAY VILNATH PETROLEUM, MOKHANA",23.28694749,70.00584542,,Rajkot
Shivaay Fuel Station,22.18390667,70.83891332,,Rajkot
KU & CO,21.74936658,73.01973535,,BARODA
MEGA PETROLEUM,21.577325,72.998354,,BARODA
Kamal Filling Station,30.01605156,74.85520432,,"Village - Pakka Kalan, Bathinda"
Gagan Filling Station,29.94678598,75.59169868,,"Village: - Baochhana, District Mansa"
Ganpati Petro,30.21516554,74.91499344,,Bathinda WML
Bakshiwala HP Filling Station,30.39840706,76.3126394,,"VILLAGE - BAKSHIWALA, PATIALA"
"Auto Care Centre, Pitampura",28.696139,77.155107,,Pitampura
SUHAG ENTERPRISES,28.879696,76.58398825,,"SUNARIA CHOWK ROHTAK,"
MOHAN PETRO STATION,28.90432607,76.59729286,,Rohtak
RADHEY KRISHNA FILLING STN,28.52026548,76.85756248,,"Badsa,Jhajhar"
Shri Radha FS,28.15516598,77.32869308,,palwal
MAA AZADKAUR FILLING STATION,28.93599836,76.520293,,ROHTAK
NIRANJAN HP CENTRE,29.27983585,76.355347,,"BIROLI, JIND"
YUVRAJ PETROCITY,29.79631671,76.1230788,,JIND
MS HSD RP FUELS,13.20555932,80.11953725,,"ANAIKATTUCHERI VILLAGE,POONAMALLE TO PATTABIRAM HIGHWAY,THIR"
MSHSD SRI PADMAM FILLLING POIN,12.94414971,79.8673282,,"SARASWATHI NAGAR,CHENNAI,THIRUVALLUR|AVADI, SOGANDY"
MS/HSD RADHIKA FILLING STATION,13.30743464,79.44270863,,"NO-233/3,KUMARAJAPETTAI VILLAGE,KUMARAJAPETTAI (POST)"
MSHSD ANNAMALAI AGENCY,12.45325066,79.57050986,,Illangadu
MSHSD JEMIX HP STATION,22.71552268,88.22242773,,KALACHARA
M/s. Sree Anjaneya Filling Station,17.20008814,80.56018803,,Kallur
M/s. Sri Venkateswara Quality Fuels,17.30124319,80.38567084,,Gubbagurthi
Coastal Filling Station,16.92576017,81.67347534,,Nidadavolu
"KALKA Filling station,Mahuwakalan",25.46489615,74.7856172,,Mahuwakalan-Bhilwara
"Bherunath HP Filling station,Rased",25.48724782,74.93042394,,Rased-Bhilwara
Amar Filling Station-Satta Bazar,30.522792,75.878433,,Village Malerkotla
Shamsher Sing Grewal Petro,30.9301346,75.81662964,,VILLAGE - JASSIAN
RAGHAV FS,28.18025575,76.71274188,,REWARI
SRI CHANDAN FS,27.9022964,77.37235955,,HODALPATTI PALWAL
SURAKSHA FUEL PT,28.17060527,77.27233847,,GUGHERA PALWAL
SHRI SHIVLAL FS,28.03985088,76.50894741,,JAISINGHPURKHEDA REWARI
SHIV FILLING STN,28.17764356,76.59524592,,JATUWAS
MSHSD BASANT FILLING STATION,29.01088797,76.00358356,,"BHIWANI HANSI ROAD, VILLAGE JITAKHERI 127035"
MSHSD PRITAM ENERGY STATION,25.07845863,76.78529746,,"HANSI BARWALA ROAD, NH148B"
MSHSD SIVA SAKTHI AGENCY,13.10374546,80.0587356,,"ANAIKATTUCHERI VILLAGE,POONAMALLE TO PATTABIRAM HIGHWAY,THIRUVALLUR"
KhatuShayam Petroleum,26.6351654,76.1057354,,Jaipur
COMCO BODAKDEV,23.033165,72.513802,,AHMEDABAD
COMCO SOLA,23.063126,72.531773,,AHMEDABAD
Amloh Filling Station,30.60895621,76.22672986,,Amloh
Badarpur SS,28.585801,77.240473,,badarpur
Deep Fuel,28.567956,77.223711,,Delhi
MSHSD TIRATH FUELS,29.58505868,76.11774917,,HP PETROL PUMP NARWANA GAUSHALA ROAD 126116
MS/HSD BUDDHA PETRO STATION,29.41846205,76.22917595,,HPCL PETROL PUMP VILLAGE - KHATKAR 126115
MS/HSD CH. RAI SINGH SAHARAN PETRO CITY,29.767128,74.477038,,CHAUTALA CHAUTALA HANUMANGARH ROAD SIRSA 125101
Bhoria fs,29.117,77.10443487,,Umedgarh
Rishi markanda fs,30.42453065,77.14801514,,Dehar
Jimidara fs,30.2567238,76.8536501,,Mohra
CNV ENTERPRISES,12.96543225,77.73321163,,SY.No 65/20 Nallurahalli Road White Field 560066
MSHSD SLN SERVICE STATION,13.227398,77.688798,,"Sy.No.58, NH44 (Hyderabad to Bengaluru Rd), CHIKKASONNE VILLAGE,DEVANHALLI TALUK 562110"
Prakash Petroleum,15.684557,74.717717,,Kadroli
Shivaparvati Petroleum,14.74717557,75.45345933,,Kadamanhalli
Maharath Petroleum,17.17542562,75.79695325,,Kapanimbargi
MSHSD SRI MURUGAN AGENCY,12.68745981,79.27284898,,Sevoor
MSHSD MRL HP PETROLEUM AGENCY,13.05966332,79.2784388,,Melpadi
MSHSD K.S.P.A. AGENCY,12.34826557,78.97925244,,"14/1A, GENGAMPATTU,GENGAMPATTU VILLAGE,VELLORE|CHENGAM"
MSHSD RASEE ENTERPRISES,12.47886497,79.2924731,,"KUDALUR VILLAGE,NO-5/4B,TIRUVANNAMALAI|VANDAVASI"
MSHSD SRI PARUCHURI AGENCY,13.28065576,80.15001386,,"G.N.T. ROAD,PANJETTY VILLAGE,176/3B,THIRUVALLUR|PONNERI"
Dakshata Petrol Pump,20.11801256,77.1354988,,Washim
APMC Akole Kotul,19.44233809,73.96299042,,Kotul
APMC Lasur,19.92249671,75.01427832,,Sawangi
Mehar Fuel Charger,20.68543044,76.78712008,,kashtkhed
Amruteshwar Petroleum,20.5185571,75.35598309,,varthan
Date Petroleum,19.27930924,74.35705054,,Khadakwadi
Adhira Petroleum,20.00987229,75.14158401,,Mambapur
Paras Petroleum,19.88169058,75.907284,,Panshendra
APMC Rahuri,19.43543714,74.61388588,,Rahuri
"SHRI LALA RAM FUEL STATION, BAJHERA",26.00240179,78.25053116,,BAJHERA
"KALYAN HARILEELA MOTORS, PARSEN",26.31315898,78.36847355,,PARSEN
"MSHSD M BALAJI FUEL, VILLAGE- BHARROLI",25.96888656,78.39894988,,VILLAGE- BHARROLI
"MSHSD SHREE BALDEV MURLIDHAR SHARDA FUEL, MORENA",26.49676658,77.99224591,,MORENA
